央视,#genre#
CCTV1综合,http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8
CCTV2财经,http://27.148.240.138/PLTV/88888888/224/3221226788/1.m3u8
CCTV3综艺,http://27.148.240.138/PLTV/88888888/224/3221227085/1.m3u8
CCTV4中文国际,http://27.148.240.138/PLTV/88888888/224/3221227331/1.m3u8
CCTV5体育,http://27.148.240.138/PLTV/88888888/224/3221227066/1.m3u8
CCTV5体育赛事,http://27.148.240.138/PLTV/88888888/224/3221226850/1.m3u8
CCTV6电影,http://27.148.240.181/PLTV/88888888/224/3221227124/1.m3u8
CCTV7国防军事,http://27.148.240.138/PLTV/88888888/224/3221226780/1.m3u8
CCTV8电视剧,http://27.148.240.138/PLTV/88888888/224/3221227119/1.m3u8
CCTV9纪录,http://27.148.240.138/PLTV/88888888/224/3221226849/1.m3u8
CCTV10科教,http://27.148.240.138/PLTV/88888888/224/3221226779/1.m3u8
CCTV11戏曲,http://27.148.240.138/PLTV/88888888/224/3221226888/1.m3u8
CCTV12社会与法,http://27.148.240.138/PLTV/88888888/224/3221226792/1.m3u8
CCTV13新闻,http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8
CCTV14少儿,http://27.148.240.138/PLTV/88888888/224/3221226762/1.m3u8
CCTV15音乐,http://27.148.240.138/PLTV/88888888/224/3221226775/1.m3u8
CCTV16奥林匹克,http://27.148.240.138/PLTV/88888888/224/3221227352/1.m3u8
CCTV17农业农村,http://27.148.240.138/PLTV/88888888/224/3221227055/1.m3u8

CCTV4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4中文国际欧洲,http://120.234.220.107:9000/udp/239.21.0.107:3768
CCTV-4中文国际美洲,http://120.234.220.107:9000/udp/239.21.0.108:3772
CGTN新闻,http://27.148.240.138/PLTV/88888888/224/3221226822/1.m3u8
CGTN纪录,http://27.148.240.138/PLTV/88888888/224/3221227136/1.m3u8

卫视,#genre#
湖南卫视,http://27.148.240.138/PLTV/88888888/224/3221227238/1.m3u8
江苏卫视,http://27.148.240.138/PLTV/88888888/224/3221227312/1.m3u8
浙江卫视,http://27.148.240.138/PLTV/88888888/224/3221227226/1.m3u8
东方卫视,http://27.148.240.138/PLTV/88888888/224/3221227281/1.m3u8
北京卫视,http://27.148.240.138/PLTV/88888888/224/3221227234/1.m3u8
