📡央视频道,#genre#
CCTV1综合,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225703/10000100000000060000000000391319_0.smil
CCTV2财经,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225702/10000100000000060000000000391317_0.smil
CCTV3综艺,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225979/10000100000000060000000004051300_0.smil
CCTV4中文国际,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225972/10000100000000060000000003964012_0.smil
CCTV5体育,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225968/10000100000000060000000004051302_0.smil
CCTV5+体育赛事,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225750/10000100000000060000000000403958_0.smil
CCTV6电影,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225847/10000100000000060000000002691351_0.smil
CCTV7国防军事,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225701/10000100000000060000000000391316_0.smil
CCTV8电视剧,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225970/10000100000000060000000004051303_0.smil
CCTV9纪录,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225700/10000100000000060000000000391315_0.smil
CCTV10科教,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225699/10000100000000060000000000391290_0.smil
CCTV11戏曲,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225737/10000100000000060000000000401678_0.smil
CCTV12社会与法,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225698/10000100000000060000000000391289_0.smil
CCTV13新闻,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225745/10000100000000060000000000403953_0.smil
CCTV14少儿,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225697/10000100000000060000000000391272_0.smil
CCTV15音乐,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225746/10000100000000060000000000403954_0.smil
CCTV16奥林匹克,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225977/10000100000000060000000004051299_0.smil
CCTV17农业农村,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225769/10000100000000060000000001410290_0.smil
CGTN,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225734/10000100000000060000000000401649_0.smil

📡福建频道,#genre#
