广电,#genre#
CCTV1综合,http://www.terrykang.cn:5678/fjgd.php?id=cctv1
CCTV2财经,http://www.terrykang.cn:5678/fjgd.php?id=cctv2
CCTV3综艺,http://www.terrykang.cn:5678/fjgd.php?id=cctv3
CCTV4中文国际,http://www.terrykang.cn:5678/fjgd.php?id=cctv4
CCTV5体育,http://www.terrykang.cn:5678/fjgd.php?id=cctv5
CCTV5体育赛事,http://www.terrykang.cn:5678/fjgd.php?id=cctv5p
CCTV6电影,http://www.terrykang.cn:5678/fjgd.php?id=cctv6
CCTV7国防军事,http://www.terrykang.cn:5678/fjgd.php?id=cctv7
CCTV8电视剧,http://www.terrykang.cn:5678/fjgd.php?id=cctv8
CCTV9纪录,http://www.terrykang.cn:5678/fjgd.php?id=cctv9
CCTV10科教,http://www.terrykang.cn:5678/fjgd.php?id=cctv10
CCTV11戏曲,http://www.terrykang.cn:5678/fjgd.php?id=cctv11
CCTV12社会与法,http://www.terrykang.cn:5678/fjgd.php?id=cctv12
CCTV13新闻,http://www.terrykang.cn:5678/fjgd.php?id=cctv13
CCTV14少儿,http://www.terrykang.cn:5678/fjgd.php?id=cctv14
CCTV15音乐,http://www.terrykang.cn:5678/fjgd.php?id=cctv15
CCTV16奥林匹克,http://www.terrykang.cn:5678/fjgd.php?id=cctv16
CCTV17农业农村,http://www.terrykang.cn:5678/fjgd.php?id=cctv17
凤凰中文,http://www.terrykang.cn:5678/fjgd.php?id=fhzw
凤凰资讯,http://www.terrykang.cn:5678/fjgd.php?id=fhzx
福建导视,http://www.terrykang.cn:5678/fjgd.php?id=fjds
福建综合,http://www.terrykang.cn:5678/fjgd.php?id=fjzh
福建新闻,http://www.terrykang.cn:5678/fjgd.php?id=fjxw
福建电视剧,http://www.terrykang.cn:5678/fjgd.php?id=fjdsj
莆田-1,http://www.terrykang.cn:5678/fjgd.php?id=pt1
莆田-2,http://www.terrykang.cn:5678/fjgd.php?id=pt2
福州-1,http://www.terrykang.cn:5678/fjgd.php?id=fz1
福州-2,http://www.terrykang.cn:5678/fjgd.php?id=fz2
福州-3,http://www.terrykang.cn:5678/fjgd.php?id=fz3
福州-4,http://www.terrykang.cn:5678/fjgd.php?id=fz4
厦门-1,http://www.terrykang.cn:5678/fjgd.php?id=xm1
厦门-2,http://www.terrykang.cn:5678/fjgd.php?id=xm2
厦门-3,http://www.terrykang.cn:5678/fjgd.php?id=xm3
泉州-1,http://www.terrykang.cn:5678/fjgd.php?id=qz1
泉州-2,http://www.terrykang.cn:5678/fjgd.php?id=qz2
泉州-3,http://www.terrykang.cn:5678/fjgd.php?id=qz3
泉州-4,http://www.terrykang.cn:5678/fjgd.php?id=qz4
宁德-1,http://www.terrykang.cn:5678/fjgd.php?id=nd1
宁德-2,http://www.terrykang.cn:5678/fjgd.php?id=nd2
漳州-1,http://www.terrykang.cn:5678/fjgd.php?id=zz1
漳州-2,http://www.terrykang.cn:5678/fjgd.php?id=zz2
南平-1,http://www.terrykang.cn:5678/fjgd.php?id=np1
南平-2,http://www.terrykang.cn:5678/fjgd.php?id=np2
三明-1,http://www.terrykang.cn:5678/fjgd.php?id=sm1
龙岩-1,http://www.terrykang.cn:5678/fjgd.php?id=ly1
平潭-1,http://www.terrykang.cn:5678/fjgd.php?id=pttv1
晋江综合,http://www.terrykang.cn:5678/fjgd.php?id=jjtv
东南卫视,http://www.terrykang.cn:5678/fjgd.php?id=dnws
厦门卫视,http://www.terrykang.cn:5678/fjgd.php?id=xmws
北京卫视,http://www.terrykang.cn:5678/fjgd.php?id=bjws
天津卫视,http://www.terrykang.cn:5678/fjgd.php?id=tjws
辽宁卫视,http://www.terrykang.cn:5678/fjgd.php?id=lnws
黑龙江卫视,http://www.terrykang.cn:5678/fjgd.php?id=hljws
东方卫视,http://www.terrykang.cn:5678/fjgd.php?id=dfws
江苏卫视,http://www.terrykang.cn:5678/fjgd.php?id=jsws
浙江卫视,http://www.terrykang.cn:5678/fjgd.php?id=zjws
安徽卫视,http://www.terrykang.cn:5678/fjgd.php?id=ahws
江西卫视,http://www.terrykang.cn:5678/fjgd.php?id=jxws
山东卫视,http://www.terrykang.cn:5678/fjgd.php?id=sdws
湖北卫视,http://www.terrykang.cn:5678/fjgd.php?id=hubws
湖南卫视,http://www.terrykang.cn:5678/fjgd.php?id=hunws
广东卫视,http://www.terrykang.cn:5678/fjgd.php?id=gdws
深圳卫视,http://www.terrykang.cn:5678/fjgd.php?id=szws
贵州卫视,http://www.terrykang.cn:5678/fjgd.php?id=gzws
三沙卫视,http://www.terrykang.cn:5678/fjgd.php?id=ssws
金鹰卡通,http://www.terrykang.cn:5678/fjgd.php?id=jykt
CHC高清电影,http://www.terrykang.cn:5678/fjgd.php?id=chcgq
CHC动作电影,http://www.terrykang.cn:5678/fjgd.php?id=chcdz
CHC家庭影院,http://www.terrykang.cn:5678/fjgd.php?id=chcjt

CCTV1综合,http://nas.jdshipin.com:8801/fjgd.php?id=cctv1hd_2000
CCTV2财经,http://nas.jdshipin.com:8801/fjgd.php?id=cctv2hd_2000
CCTV3综艺,http://nas.jdshipin.com:8801/fjgd.php?id=cctv3hd_2000
CCTV4中文国际,http://nas.jdshipin.com:8801/fjgd.php?id=cctv4hd_2000
CCTV5体育,http://nas.jdshipin.com:8801/fjgd.php?id=cctv5hd_2000
CCTV5体育赛事,http://nas.jdshipin.com:8801/fjgd.php?id=cctv5plushd_2000
